Component,Name,Target,Code,Params,,,,,,,,,,,,,Danger Flag,Is Restricted,Description,Note
MOBC,,,,Num Params,Param1,,Param2,,Param3,,Param4,,Param5,,Param6,,,,,
Comment,,,,,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,,,,
*,Cmd_EXAMPLE,OBC,,2,uint32_t,address,int32_t,time [ms],,,,,,,,,,,例,引数の説明と単位を書くこと！（例：time [ms]）
* C2A_CORE,基幹機能コマンド,,,,,,,,,,,,,,,,,,,
,Cmd_NOP,OBC,0x0000,0,,,,,,,,,,,,,,,ダミーコマンド,
,Cmd_TMGR_SET_TIME,OBC,0x0001,1,uint32_t,TI,,,,,,,,,,,,,MOBC時刻設定コマンド,
,Cmd_TMGR_UPDATE_UNIXTIME,OBC,0x0002,3,double,unixtime,uint32_t,total_cycle,uint32_t,step,,,,,,,,,MOBC UNIXTIME修正コマンド,
,Cmd_TMGR_SET_UTL_UNIXTIME_EPOCH,OBC,0x0003,1,double,ult_unixtime_epoch,,,,,,,,,,,,,UTL_cmdで用いるunixtimeの紀元を変更する,utl_unixtime_epoch [s]
,Cmd_TMGR_SET_CYCLE_CORRECTION,OBC,0x0004,1,double,cycle_correction,,,,,,,,,,,,,CYCLES_PER_SECの補正倍率を変更する@@ 初期値は1.0,
,Cmd_TMGR_RESET_CYCLE_CORRECTION,OBC,0x0005,0,,,,,,,,,,,,,,,CYCLES_PER_SECの補正倍率を1.0に初期化する,
,Cmd_TMGR_CLEAR_UNIXTIME_INFO,OBC,0x0006,0,,,,,,,,,,,,,,,unixtime_info_ を初期化する,
,Cmd_AM_REGISTER_APP,OBC,0x0007,3,uint32_t,app_id,uint32_t,init_ptr,uint32_t,entry_ptr,,,,,,,,,アプリ登録コマンド,
,Cmd_AM_INITIALIZE_APP,OBC,0x0008,1,uint32_t,app_id,,,,,,,,,,,,,アプリ初期化コマンド,
,Cmd_AM_EXECUTE_APP,OBC,0x0009,1,uint32_t,app_id,,,,,,,,,,,,,アプリ実行コマンド,
,Cmd_AM_SET_PAGE_FOR_TLM,OBC,0x000A,1,uint8_t,,,,,,,,,,,,,,テレメトリ生成用ページ番号設定,
,Cmd_AM_CLEAR_APP_INFO,OBC,0x000B,0,,,,,,,,,,,,,danger,,アプリ実行時間計測の初期化,
,Cmd_MM_SET_MODE_LIST,OBC,0x000C,2,uint8_t,mode,uint16_t,bc_index,,,,,,,,,,,モード定義リスト設定コマンド,
,Cmd_MM_SET_TRANSITION_TABLE,OBC,0x000D,3,uint8_t,from_mode,uint8_t,to_mode,uint16_t,bc_index,,,,,,,,,モード遷移定義テーブル書き換えコマンド,
,Cmd_MM_START_TRANSITION,OBC,0x000E,1,uint8_t,to_mode,,,,,,,,,,,,,モード遷移開始コマンド,
,Cmd_MM_FINISH_TRANSITION,OBC,0x000F,0,,,,,,,,,,,,,,,モード遷移終了通知コマンド,
,Cmd_MM_UPDATE_TRANSITION_TABLE_FOR_TLM,OBC,0x0010,0,,,,,,,,,,,,,,,モードのTLMテーブル情報更新,
,Cmd_TDSP_SET_TASK_LIST,OBC,0x0011,1,uint8_t,bc_index,,,,,,,,,,,,,タスクリスト設定コマンド,
,Cmd_TLCD_CLEAR_ALL_TIMELINE,OBC,0x0012,1,uint8_t,TLCD_ID,,,,,,,,,,,danger,,全TLC登録解除,
,Cmd_TLCD_CLEAR_TIMELINE_AT,OBC,0x0013,2,uint8_t,TLCD_ID,uint32_t,TI,,,,,,,,,,,TI指定TLC登録解除,
,Cmd_TLCD_DEPLOY_BLOCK,OBC,0x0014,2,uint8_t,TLCD_ID,uint16_t,bc_index,,,,,,,,,,,BLC展開 ,
,Cmd_TLCD_CLEAR_ERR_LOG,OBC,0x0015,1,uint8_t,,,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
,Cmd_TLCD_SET_SOE_FLAG,OBC,0x0016,2,uint8_t,TLCD_ID,uint8_t,,,,,,,,,,,,異常時実行停止機能設定(ライン番号@@ フラグ),
,Cmd_TLCD_SET_LOUT_FLAG,OBC,0x0017,2,uint8_t,TLCD_ID,uint8_t,,,,,,,,,,,,実行停止機能設定(ライン番号@@ フラグ),
,Cmd_TLCD_SET_ID_FOR_TLM,OBC,0x0018,1,uint8_t,TLCD_ID,,,,,,,,,,,,,テレメで降ろすTL_IDの設定とTLテレメの更新,
,Cmd_TLCD_SET_PAGE_FOR_TLM,OBC,0x0019,1,uint8_t,page_no,,,,,,,,,,,,,テレメトリ生成用ページ番号設定,
,Cmd_GENERATE_TLM,OBC,0x001A,3,uint8_t,category,uint8_t,TLM_ID,uint8_t,送出回数,,,,,,,,,TLMパケット生成,
**,BCTコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_BCT_CLEAR_BLOCK,OBC,0x001B,1,uint16_t,bc_index,,,,,,,,,,,,,BLC登録解除コマンド,
,Cmd_BCT_SET_BLOCK_POSITION,OBC,0x001C,2,uint16_t,bc_index,uint8_t,cmd_index,,,,,,,,,,,BLC操作ポインタ設定コマンド,
,Cmd_BCT_COPY_BCT,OBC,0x001D,2,uint16_t,dst_bc_index,uint16_t,src_bc_index,,,,,,,,,,,BCT の内容を別の場所にコピー,
,Cmd_BCT_OVERWRITE_CMD,OBC,0x001E,5,uint16_t,CMD_CODE,uint32_t,TI,uint16_t,pos.block,uint8_t,pos.cmd,raw,cmd_param (big endian),,,danger,,BCTの内容を上書き,
,Cmd_BCT_FILL_NOP,OBC,0x001F,1,uint8_t,,,,,,,,,,,,,,テレメ運用時の10個BCをNOP埋めする．（NOP個数）,
**,BCEコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_BCE_ACTIVATE_BLOCK,OBC,0x0020,0,,,,,,,,,,,,,,,BLC有効化コマンド,
,Cmd_BCE_ACTIVATE_BLOCK_BY_ID,OBC,0x0021,1,uint16_t,bc_index,,,,,,,,,,,,,BCを（無条件に）有効化,
,Cmd_BCE_INACTIVATE_BLOCK_BY_ID,OBC,0x0022,1,uint16_t,bc_index,,,,,,,,,,,,,BCを（無条件に）無効化,
,Cmd_BCE_ROTATE_BLOCK,OBC,0x0023,1,uint16_t,bc_index,,,,,,,,,,,,,BLC回転コマンド,
,Cmd_BCE_COMBINE_BLOCK,OBC,0x0024,1,uint16_t,bc_index,,,,,,,,,,,,,BLC融合コマンド,
,Cmd_BCE_TIMELIMIT_COMBINE_BLOCK,OBC,0x0025,2,uint16_t,bc_index,uint8_t,limit_step,,,,,,,,,,,時間制限付きBLC融合コマンド,
,Cmd_BCE_RESET_ROTATOR_INFO,OBC,0x0026,0,,,,,,,,,,,,,danger,,カウンタ類リセット,
,Cmd_BCE_RESET_COMBINER_INFO,OBC,0x0027,0,,,,,,,,,,,,,danger,,カウンタ類リセット,
,Cmd_BCE_SET_ROTATE_INTERVAL,OBC,0x0028,2,uint16_t,,uint16_t,,,,,,,,,,,,BC回転時の回転間隔周期を設定する,
**,GSCDコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_GSCD_CLEAR_ERR_LOG,OBC,0x0029,0,,,,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
**,RTCDコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_RTCD_CLEAR_ALL_REALTIME,OBC,0x002A,0,,,,,,,,,,,,,danger,,全RTC登録解除,
